Card ID,Item Deck,Main type,Tags,Card Name,Value,Reputation,Rarity,Effect,Art Notes,Asset File,Status,Balance Notes,Count of Card
CRF-ARM-001,Crafted Goods,Armament,"Forged, Blade, Magical",Flaming Blade,9,1,Uncommon,+1 to Rolls.,A flaming longsword,,Idea,,1
CRF-ARM-002,Crafted Goods,Armament,"Forged, Armor, Elegant",Elven Half Plate,9,1,Uncommon,Ignore 1 Retaliation.,A silvered half plate chest piece,,Idea,,1
CRF-ARM-003,Crafted Goods,Armament,"Forged, Blunt, Mystic",Enchanted Warmaul,9,1,Uncommon,+1 to Rolls.,A huge enchanted rock maul.,,Idea,,1
CRF-ARM-004,Crafted Goods,Armament,"Forged, Bow, Magical",Crystalforged Bow,9,1,Uncommon,+1 Range,A bow made of sparkling glass.,,Idea,,1
CRF-ARM-005,Crafted Goods,Armament,"Forged, Firearm, Exotic",Thunderstone Flintlocke,13,2,Rare,"+1 Range, +1 to Rolls.",A flintlocke with a stone surging with lightning.,,Idea,,1
CRF-ARM-006,Crafted Goods,Armament,"Forged, Luxury, Armor",Velted Strewn Robes,13,2,Rare,Gain 1 Reroll.,Purple velvet runes adorned with runes.,,Idea,,1
CRF-ARM-007,Crafted Goods,Armament,"Forged, Blade, Cursed",Shadowheart Dagger,13,2,Rare,"Gain 1 Movement, +1 to Rolls","A blade glowing dagger, with dark jewels.",,Idea,,1
CRF-ARM-008,Crafted Goods,Armament,"Forged, Blunt, Sacred",Diviner's Mace,13,2,Rare,Gain 1 Reroll.,An ornate priest's mace,,Idea,,1
CRF-ARM-009,Crafted Goods,Armament,"Forged, Monster Part, Armor",Great Turtle's Shell,20,3,Special,"Gain 2 Movement, Ignore 2 Retaliations",A large emboldened turtle shell shield,,Idea,,1
CRF-ARM-010,Crafted Goods,Armament,"Forged, Refined, Blade",Master Duelist's Rapier,20,3,Special,"Gain 2 Rerolls, +2 to Rolls.",A beautifully crafted rapier with a jewel encrusted hilt guard.,,Idea,,1
